Kod_Canoco,SaprInd,Lital,RETI,EPTAbu,Marg,Metaritr,JepAbu,Epiritral,Hyporitral,Ntaxon,Nceled,Bindex,EPTTax,PosAbu,Spasaci,MDS_1,MDS_2
BecvChor,2.5762,31.96916,0.37453,26.90136,7.10911,16.25647,14.8933,7.68869,22.52242,18,40,0.64865,23,0.33939,28.29352,-0.698315,-0.7040517
BecvOsek,2.43686,28.12037,0.2779,23.32888,5.80443,14.14831,11.06343,6.96659,19.74992,12,25,0.37838,16,0,20.84029,-0.6132343,-0.3796887
BecvTrou,2.10235,21.30691,0.31422,36.49575,6.14622,11.21903,30.23011,5.92213,18.63735,9,25,0.16216,12,1.47017,20.88415,-0.08536265,1.605144
BelaBosk,1.53297,37.12914,0.48181,38.49802,9.36742,25.32146,10.11182,20.37168,18.17237,16,40,0.72,30,8.07504,28.62651,0.5575862,-0.4424091
BilyPoto,1.79499,27.21495,0.371,23.26918,8.62,17.88813,5.95577,12.08359,19.09771,21,36,0.54167,21,0.54567,22.02324,0.4088851,-0.2172988
BlatTova,2.90209,16.04854,0.30351,8.64187,5.51661,7.9803,4.71039,5.23533,14.60371,15,27,0.09091,5,0,16.78539,-0.766993,0.5244099
BrezJaro,2.7021,18.20885,0.27896,9.95374,5.521,10.60614,3.02442,6.68063,15.5605,18,25,0.08,8,0,21.02811,-0.6387713,0.07480576
BrodVice,2.14583,19.97223,0.25092,7.06243,7.09363,9.59666,0.77642,6.11087,15.53498,17,22,0.2,8,0,17.62215,-0.3808506,0.1185188
BrtnStri,1.86586,27.28535,0.36365,37.99367,8.2132,20.54631,20.20389,10.13453,21.984,14,37,0.81818,27,0.39053,22.11113,0.1707208,-0.09639079
BystByst,1.69639,36.63515,0.41381,34.63268,8.73477,23.24526,19.65595,12.3769,23.1854,14,42,0.69565,27,1.49483,27.59614,0.4069119,-0.1301401
DesnSudk,1.78585,35.27455,0.47687,28.77199,9.26001,20.94053,5.66876,11.90245,24.21556,21,38,0.89189,26,2.41472,30.5517,0.3983902,0.0317702
DrevLuto,2.6987,22.97771,0.32069,19.698,5.14299,11.69302,6.75698,7.21635,17.70065,14,26,0.19231,15,0,21.92345,-0.8070125,-0.4253676
DrevOtro,2.77197,12.81706,0.22601,9.41657,3.73104,8.7227,5.48435,5.3919,15.21708,15,18,0.14286,5,0,19.15342,-1.169302,-0.5509112
DyjeLadn,2.15685,15.31958,0.25674,25.5345,6.38287,6.44947,6.14674,3.62726,17.63449,13,22,0.2963,13,0,13.21951,-0.2362988,1.194772
DyjeVran,1.80863,34.25866,0.47191,18.95789,5.58188,20.34487,2.08941,13.99015,21.49502,9,31,0.58621,12,0,27.11469,0.3261806,-0.5873132
FrysJimr,1.40747,42.84839,0.54664,47.90595,8.72753,30.95355,15.62072,20.86501,21.72924,11,38,0.79167,30,8.19359,34.87773,1.199739,-0.1142548
HanaBezm,3.20518,14.86834,0.24964,6.49163,4.8707,7.80503,4.16162,5.67089,14.17925,15,21,0.17241,5,0,19.9517,-1.07887,0.2267387
HlouPros,2.00672,28.03688,0.38313,19.62089,7.63238,15.41497,6.85408,9.35819,22.70557,14,33,0.28,16,0,27.96033,0.07748029,0.1680986
JeviJevi,2.30695,14.3245,0.22981,16.64826,7.34781,6.94358,7.97345,3.74723,14.11862,16,31,0.11111,10,0,15.04708,-0.4554673,0.7762973
JihlIvan,2.07424,23.42884,0.31598,25.25349,10.1199,11.32021,15.8065,5.70646,18.86063,25,43,0.71429,22,0,20.38111,-0.2494572,0.5020394
JihlPrim,2.07594,23.44298,0.33089,27.0203,10.66297,13.33267,9.45911,7.40194,18.86531,26,43,0.64286,27,0.65803,20.09936,0.02659757,0.1122417
JihlRanc,1.76456,26.82744,0.42384,25.33633,7.722,17.6907,6.31438,11.47901,20.87208,21,32,0.55556,19,1.06566,25.2532,0.5916877,-0.09188177
JihlVlad,1.99452,16.40893,0.28187,19.30508,8.24046,9.60339,5.33596,4.83814,15.93784,24,28,0.42857,18,0,16.57363,-0.3403572,0.1974678
KrupChra,1.43814,40.45662,0.65155,46.86503,8.43639,31.91514,12.45499,23.98239,19.38968,14,42,0.95833,31,9.20431,39.33429,1.176996,-0.777808
LitaVaza,2.79342,17.00214,0.24851,8.12276,4.21725,10.71963,3.82711,7.72385,15.2425,15,15,0.11111,2,0,18.93196,-0.7219977,0.109443
LitaZidl,2.90326,17.56894,0.2175,14.51481,4.47986,8.70375,4.79706,5.37207,15.42203,14,19,0.11538,7,0,17.87966,-1.03546,-0.2450497
LuhaUjez,2.52046,28.23191,0.33135,19.9279,6.60542,14.99568,9.5633,9.74776,19.63591,19,27,0.32,17,0,24.23755,-0.3602283,-0.9777182
MertPetr,1.53929,40.65225,0.55324,32.20143,8.25259,26.07787,8.57576,18.05462,24.1859,17,36,0.72,20,1.94185,37.55082,0.861378,-0.0903846
MiroMohe,1.99645,26.56548,0.36789,27.1384,8.44402,18.87378,16.62069,10.27435,22.84338,13,40,0.47826,24,0,26.04516,0.09307753,-0.3357243
Mohelnic,1.42768,50.97331,0.65507,75.19879,4.57824,33.50345,34.01312,22.34574,23.75278,2,19,0.32143,19,13.46557,39.22523,2.043026,-0.2043573
MoraLanz,2.03649,26.7123,0.28238,35.88494,6.28143,8.60715,22.95138,4.17629,19.52322,15,23,0.33333,14,0,18.72678,-0.1243974,1.164941
Moravka,1.60634,48.69948,0.51551,53.17301,4.1761,29.62361,38.42953,13.08139,28.67905,5,17,0.30769,13,1.49002,41.77863,1.728099,0.4792588
MoSaRaje,2.05341,30.73829,0.41709,35.30307,8.52854,21.19687,15.26163,9.86061,25.24771,13,40,0.75676,31,0,26.61724,-0.06873888,-0.1537245
MyslMysl,2.10469,27.89482,0.3668,24.67417,9.1596,17.36487,12.27368,10.40167,20.5747,19,37,0.44,20,1.37744,24.07905,-0.008577804,0.2781523
NivnUher,2.53718,24.70674,0.28718,20.63271,6.01392,13.26903,6.44315,9.01894,17.84164,19,23,0.24,12,0,20.98455,-0.6944929,-0.4824687
OkluUher,2.94963,13.17823,0.24562,12.49155,4.46029,9.84194,5.98603,6.17303,14.36545,13,20,0.09091,8,0,17.1605,-0.8098224,0.3159888
OlesMaje,2.48141,20.36431,0.2625,7.14273,5.00448,9.55525,1.75207,6.39603,15.28391,17,19,0.16,5,0,21.64346,-0.6716365,-0.2257158
OlsaKuno,2.6209,12.44945,0.2435,15.7237,5.26784,8.94542,6.10179,5.32349,15.13294,13,24,0.19231,13,0,18.15134,-0.90531,-0.2433182
OlsaSumi,2.48885,13.03814,0.28558,16.98843,5.86621,9.83636,6.84268,5.09804,16.41594,18,30,0.07692,13,0.45296,18.36731,-0.7040255,-0.1718684
Olse,1.81298,34.2595,0.39143,64.25907,4.65722,16.67244,53.39,5.49723,25.16315,6,11,0.21622,13,0,33.02842,0.8276227,1.957792
OskaPnov,2.42447,15.31941,0.29496,22.40309,7.30401,13.08848,7.22159,7.14836,19.42052,16,29,0.40909,15,0,16.55699,-0.158451,0.3817971
OslaOsla,2.05804,29.38486,0.35727,29.46415,9.45769,16.17694,16.26222,8.47084,21.54659,20,38,0.86364,25,0.72199,27.45685,-0.110161,-0.0454621
OstrOstr,1.39756,50.97691,0.64249,76.49594,3.58546,37.05988,38.39729,26.36243,21.48742,2,17,0.375,18,25.1682,47.45322,1.946374,-0.4325993
ReciNoRi,1.25113,35.79597,0.48904,41.72372,7.86413,28.12434,20.43217,18.81649,23.55353,12,41,0.53846,25,6.2612,31.48901,1.130408,0.5194145
Rouchova,2.021,26.90909,0.40758,29.06587,6.45886,17.41589,4.12502,11.12728,21.58064,15,30,0.42308,18,0.56291,23.36433,-0.03827791,-0.2105853
RusaHuli,3.10232,12.54298,0.26434,1.07371,3.52277,11.15382,1.07371,7.65929,13.74451,15,15,0.08,1,0,17.62415,-1.04672,-0.1796894
RusaKoli,2.69458,24.0018,0.28246,17.35378,5.75598,11.52619,7.49225,7.96521,16.89596,14,27,0.18519,14,0,20.79463,-0.9763234,-0.6317607
SeniUsti,2.14796,29.84316,0.37458,26.42234,7.63823,16.53451,7.57675,8.46431,21.90576,14,37,0.56757,22,0.33992,24.38602,-0.266623,-0.2443155
SitkBena,2.32463,16.62969,0.28962,17.00798,7.58538,12.21258,5.49311,7.92283,17.36713,18,28,0.32,13,0,16.02245,-0.3904844,0.04419908
SitkSter,1.42083,39.02156,0.54057,44.55313,10.61723,25.31456,11.1801,21.18541,17.75605,16,46,0.8,35,5.81838,28.8428,1.107517,0.2720811
StanKaro,1.53129,44.48922,0.59044,45.5644,9.47215,30.84221,17.72749,22.25067,19.6269,17,42,0.88,38,9.15558,40.32003,0.8616785,-0.747706
Susanka,2.7945,26.18896,0.24299,30.22155,2.12999,13.17764,16.07826,8.58678,20.13445,3,10,0.04348,6,0,17.62085,-0.6493734,1.272251
Svitava,2.15176,22.76082,0.29749,28.70827,7.77137,12.77484,15.14811,6.98349,20.81541,17,34,0.62069,16,0.46234,16.58921,0.2480747,0.5753227
SvitLeto,2.25201,21.27328,0.32199,20.00359,5.94833,19.59744,11.23527,13.16278,20.2655,18,29,0.58333,13,1.07608,22.62383,-0.3411397,-0.470675
SvraKriz,1.73374,29.28422,0.41807,35.75134,8.01946,21.85997,9.4906,13.9412,20.9591,15,35,0.625,22,8.51282,21.52279,1.098894,0.12752
SvraPriz,2.07853,25.64354,0.30147,24.84063,8.39962,13.65432,12.97443,6.88598,20.55153,17,32,0.51724,19,0,19.683,-0.03485236,0.1980669
