Kod_Canoco,Tepl_max,%O2,BSK5,Kond,N-NH4,N-NO3,Pcelk
BecvChor,20.9,107,1.3,33.7,0.09,1.55,0.077
BecvOsek,21.8,105,1.2,37,0.06,2.32,0.063
BecvTrou,22.1,106,1.4,43.9,0.07,2.49,0.08
BelaBosk,16.4,104,1.1,22.1,0.02,2.05,0.029
BilyPoto,18.9,104,1.9,30.4,0.1,4.48,0.131
BrezJaro,18.4,84,2.5,83.8,0.3,3.63,0.237
BrodVice,19.3,100,2.7,68.4,0.11,4.81,0.123
BrtnStri,20,98,2,31.2,0.04,7.61,0.09
BystByst,17.7,103,0.9,21.5,0.02,1.16,0.029
DesnSudk,21.2,103,1.4,22.1,0.06,2.3,0.067
DrevLuto,16.3,101,1.8,52.1,0.15,1.67,0.149
DrevOtro,22.7,94,3.7,69.4,0.61,3.75,0.239
DyjeLadn,24,99,2.2,65.7,0.11,4.33,0.127
DyjeVran,17,86,1.1,33.2,0.07,4.51,0.059
FrysJimr,16.6,106,1.3,14.4,0.03,3.55,0.044
HanaBezm,19.5,104,3.4,91.1,0.19,5.19,0.226
HlouPros,19.2,101,2.5,39.5,0.05,4.03,0.085
JeviJevi,19.6,90,2.8,88,0.16,9.04,0.164
JihlIvan,19.8,98,1.9,51.3,0.04,6.4,0.157
JihlPrim,23.7,100,3,33,0.08,5.32,0.128
JihlRanc,18.7,98,1.9,25,0.13,6.01,0.076
JihlVlad,23.9,100,2.5,35.9,0.06,6.37,0.112
KrupChra,17.1,108,1,13.7,0.02,0.9,0.015
LitaVaza,22.8,103,3.6,126,0.27,6.5,0.314
LitaZidl,23.9,90,4.1,140,0.26,5.97,0.296
LuhaUjez,18,88,2.3,57,0.1,2.3,0.207
MertPetr,20.6,106,1.1,14.3,0.04,1.38,0.025
MiroMohe,19.6,103,1.4,34.8,0.03,3.11,0.066
Mohelnic,12.5,96.2,1.2,7.91,0.02,0.72,0.01
MoraLanz,27,102.3,2.2,55.1,0.055,2.82,0.1235
Moravka,16.7,101.1,1.6,17.4,0.02,1.45,0.02
MoSaRaje,22.5,106,2.2,31.3,0.08,3.69,0.078
MyslMysl,20.1,92,3.3,24.2,0.11,1.9,0.248
NivnUher,18.3,97,1.7,69.5,0.07,3.78,0.055
OkluUher,22.9,91,2.6,69.7,0.34,4.57,0.181
OlesMaje,19,101,2.2,36.5,0.16,3.45,0.128
OlsaKuno,20.5,99,2.3,70.7,0.14,3.64,0.134
OlsaSumi,18.1,100,2.3,61.7,0.23,1.7,0.105
Olse,21.4,94.3,3.6,72.6,0.33,2.01,0.13
OskaPnov,20.4,100,2,36.3,0.1,3.19,0.108
OslaOsla,24.5,102,1.9,48.4,0.09,6.05,0.14
OstrOstr,18.6,95.3,1.7,12.4,0.02,0.44,0.01
ReciNoRi,17,96,1.1,19.3,0.02,3.44,0.024
Rouchova,19.7,93,2.9,67.7,0.08,9.68,0.167
RusaHuli,23.5,89,3.2,89.8,0.6,4.84,0.221
RusaKoli,20.7,104,1.5,73.6,0.08,3.81,0.072
SeniUsti,18.2,100,1.3,39.8,0.03,1.1,0.068
SitkBena,21,98,1.5,23.3,0.12,3.55,0.148
SitkSter,19.5,103,1.1,13,0.02,1.78,0.032
StanKaro,14.6,101,0.6,21.1,0.02,0.72,0.014
Susanka,17.2,88.3,3,75.3,0.19,1.8,0.15
Svitava,22.1,107,2.2,54.1,0.06,5.61,0.135
SvitLeto,13.6,103,1.5,56.3,0.16,7.19,0.118
SvraKriz,18.4,104,1.9,13.2,0.14,1.98,0.08
SvraPriz,21.9,102,1.5,35.5,0.05,4.39,0.074
SvraRajh,23,97,2.2,50.3,0.17,5.01,0.119
SvraVeve,17.8,102,2,38.7,0.04,4.82,0.103
SvraVran,20.4,99,2.4,64.1,0.12,5.03,0.196
TrebLost,21.3,101,2,54,0.15,5.69,0.16
TresJezd,21.4,95,6.6,28.1,0.25,2.56,0.239
Tyra,17.2,96.5,1.7,19,0.04,1.38,0.04
ValoPolk,20.2,103,3.1,81.8,0.27,6.06,0.246
VidnVidn,19,97.4,2,18.2,0.02,1.61,0.05
VsBeUsti,19.2,103,1.2,31.6,0.02,1.12,0.028
